,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
"DAIHATSU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,N/D,,,,0.72*,,,1.0,
,"DBA-8VCXS
VIN №*",,,,2013,2WD,Sportback 1.4 TFSI Turbo,,,,,,,,,,,,CXSB,,,,1400,,,,4.5,,MJ-210,MJ-112,,,,,DCT,,,1.7,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2013,2WD,Sportback 1.4 TFSI Turbo,,,,,,,,,,,,CXSB,,,,1400,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,N/D,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"DBA-8VCPT
VIN №*",,,,2013,2WD,"Sportback 1.4 TFSI cylinder on
demand Turbo",,,,,,,,,,,,CPTA,,,,1400,,,,4.5,,MJ-210,MJ-112,,,,,DCT,,,1.7,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2013,2WD,"Sportback 1.4 TFSI cylinder on
demand Turbo",,,,,,,,,,,,CPTA,,,,1400,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,N/D,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8VCJSF
VIN №*",,,,2013,4WD,"Sportback 1.8 TFSI quattro Turbo
4WD",,,,,,,,,,,,CJSB,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,DCT,,,6.9,,,,,,MJ-351,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,0.9,,,N/D,
,"DBA-8VCXS(L)
VIN №*",,,,2014,2WD,Sportback / Sedan 1.4 TFSI Turbo,,,,,,,,,,,,CXSB,,,,1400,,,,4.0,,MJ-210,MJ-112,,,,,DCT,,,1.7,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2014,2WD,Sportback / Sedan 1.4 TFSI Turbo,,,,,,,,,,,,CXSB,,,,1400,,,,4.0,,MJ-210,MJ-112,,,,,MT,,,N/D,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"DBA-8VCPT(L)
VIN №*",,,,2014,2WD,"Sportback / Sedan 1.4 TFSI cylinder
on demand Turbo",,,,,,,,,,,,CPTA,,,,1400,,,,4.0,,MJ-210,MJ-112,,,,,DCT,,,1.7,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2014,2WD,"Sportback / Sedan 1.4 TFSI cylinder
on demand Turbo",,,,,,,,,,,,CPTA,,,,1400,,,,4.0,,MJ-210,MJ-112,,,,,MT,,,N/D,,,,,,MJ-420,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8VCJSF(l)
VIN №*",,,,2014,4WD,"Sportback / Sedan 1.8 TFSI quattro
Turbo 4WD",,,,,,,,,,,,CJSB,,,,1800,,,,4.0,,MJ-210,MJ-112,,,,,DCT,,,6.9,,,,,,MJ-351,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,0.9,,,N/D,
,"DLA-8VCUK
VIN №*",,,,2015,2WD,Sportback e-tron Turbo,,,,,,,,,,,,CUKB CXUA,,,,1400,,,,4.0,,,MJ-112,,,,,DCT,,,7.4,,,,,,MJ-351,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GH-8EBFB
VIN №*",,,,2006,2WD,1.8T / Avant 1.8T Multy Tronic,,,,,,,,,,,,BFB,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,7.7,,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,"GH-8EALT
VIN №*",,,,2006,2WD,"Attraction / Avant Attraction Multy
Tronic",,,,,,,,,,,,ALT,,,,2000,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,7.7,,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,"GH-8EBWEF
VIN №*",,,,2006,4WD,"Avant 2.0 TFSI quattro Attraction
Turbo",,,,,,,,,,,,BWE,,,,2000,,,,4.5,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9-1.5,
,"ABA-8KCAB
VIN №*",,,,2008,2WD,1.8 TFSI Turbo,,,,,,,,,,,,CAB,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,VIN №*,,,,2008,2WD,1.8 TFSI Turbo,,,,,,,,,,,,CAB,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,4.0,,,,,,MJ-410,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8KCDH
VIN №*",,,,2008,2WD,Avant 1.8 TFSI Turbo,,,,,,,,,,,,CDH,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,VIN №*,,,,2008,2WD,Avant 1.8 TFSI Turbo,,,,,,,,,,,,CAB,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,4.0,,,,,,MJ-410,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8KCALF
VIN №*",,,,2008,4WD,3.2 FSI / Avant 3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.5,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,1.0,
,VIN №*,,,,2008,4WD,3.2 FSI / Avant 3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.5,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,MJ-410,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,,,,1.0,
,"ABA-8KCDH
VIN №*",,,,2009,2WD,1.8 TFSI / Avant 1.8 TFSI Turbo,,,,,,,,,,,,CDH,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,VIN №*,,,,2009,2WD,1.8 TFSI / Avant 1.8 TFSI Turbo,,,,,,,,,,,,CDH,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,4.0,,,,,,MJ-410,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8KCDNF
VIN №*",,,,2009,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro 7
Fast S Tronic Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.5-5.0,,,0.9,
,VIN №*,,,,2009,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro
Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,1.0,,,0.9,
,VIN №*,,,,2009,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro
Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,"ABA-8KCALF
VIN №*",,,,2009,4WD,3.2 FSI / Avant 3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.5,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,1.0,
,VIN №*,,,,2009,4WD,3.2 FSI / Avant 3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.5,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,MJ-410,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,,,,1.0,
,"ABA-8KCDH
VIN №*",,,,2010,2WD,1.8 TFSI / Avant 1.8 TFSI Turbo,,,,,,,,,,,,CDH,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,VIN №*,,,,2010,2WD,1.8 TFSI / Avant 1.8 TFSI Turbo,,,,,,,,,,,,CDH,,,,1800,,,,4.5,,MJ-210,MJ-112,,,,,MT,,,4.0,,,,,,MJ-410,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8KCDNF
VIN №*",,,,2011,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro 7
Fast S Tronic Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.5-5.0,,,0.9,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2011,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro
Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,1.0,,,0.9,
,VIN №*,,,,2011,4WD,"2.0 TFSI / Avant 2.0 TFSI quattro
Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,"DBA-8KCDN
VIN №*",,,,2011,2WD,2.0 TFSI / Avant 2.0 TFSI Turbo,,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,"DBA-8KCDN
VIN №*",,,,2013,2WD,2.0 TFSI / Avant 2.0 TFSI Turbo,,,,,,,,,,,,CDN,,,,2000,,,,4.7,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,,,,,
,VIN №*,,,,2014,2WD,2.0 TFSI / Avant 2.0 TFSI Turbo,,,,,,,,,,,,CAED,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,,,,,
,"ABA-8KCNCA
VIN №*",,,,2014,4WD,Allroad Quattro Turbo 4WD,,,,,,,,,,,,CNC,,,,2000,,,,5.0,,MJ-210,MJ-112,,,,,DCT,,,N/D,,,,,,SP,,,,,,,,SP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,N/D,
,VIN №*,,,,2014,4WD,2.0 TFSI Quattro Turbo 4WD,,,,,,,,,,,,CAED,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,AT,,,8.6,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,
,VIN №*,,,,2014,4WD,Allroad 2.0 TDI,,,,,,,,,,,,CDDA CNHA,,,,2000,,,,4.7,,,MJ-210,,,,,DCT,,,"4.5
/7.0",,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-8TCALF
VIN №*",,,,2008,4WD,3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.5,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,*/MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.2,,,0.9-1.0,
,VIN №*,,,,2008,4WD,3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.2,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9,
,VIN №*,,,,2008,4WD,3.2 FSI quattro,,,,,,,,,,,,CAL,,,,3200,,,,6.2,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,"ABA-8TCDNF
VIN №*",,,,2009,4WD,"2.0 TFSI quattro 7 Fast S Tronic
Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.5,,,0.9,
,VIN №*,,,,2009,4WD,2.0 TFSI quattro Turbo,,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIN №*,,,,2009,4WD,2.0 TFSI quattro Turbo,,,,,,,,,,,,CDN,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,"ABA-8FCALF
VIN №*",,,,2009,4WD,"3.2 FSI quattro / 3.2 FSI quattro
Cabriolet 7 Fast S Tronic",,,,,,,,,,,,CAL,,,,3200,,,,6.2,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,*/MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.5,,,0.9-1.0,
,ABA-8TCDNF ABA-8TCDNL,,,,2010,4WD,"Coupe / Sportback 2.0 TSFI quattro
7 Fast S Tronic Turbo",,,,,,,,,,,,CDN,,,,2000,,,,4.5,,MJ-210,MJ-112,,,,,DCT,,,7.0,,,,,,SP,,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,4.5,,,0.9,
,ABA-8TCDNF ABA-8TCDNL,,,,2012,4WD,"Cabriolet / Coupe / Sportback 2.0
TSFI Quattro Turbo",,,,,,,,,,,,CDNC,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,DCT,,,"4.5
/7.0",,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,VIN №*,,,,2012,4WD,"Cabriolet / Coupe / Sportback 2.0
TSFI Quattro Turbo",,,,,,,,,,,,CDNC,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,MT,,,4.5,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,VIN №*,,,,2014,2WD,2.0 TFSI Turbo,,,,,,,,,,,,CAEB,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,CVT,,,"5.5
(8.0)",,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,,,,,
,VIN №*,,,,2014,4WD,2.0 TFSI Quattro Turbo 4WD,,,,,,,,,,,,CAEB,,,,2000,,,,4.6,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.1,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-4FBDW
VIN №*",,,,2007,2WD,2.4 / Avant 2.4,,,,,,,,,,,,BDW,,,,2400,,,,6.5,,MJ-210,MJ-112,,,,,CVT,,,7.5,,,,,,MJ-329,MJ-410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.3,,,,,,,,
,VIN №*,,,,2007,2WD,2.4 / Avant 2.4,,,,,,,,,,,,BDW,,,,2400,,,,6.5,,MJ-210,MJ-112,,,,,MT,,,3.0,,,,,,MJ-410,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,,
,"ABA-4FBDXS
VIN №*",,,,2007,4WD,2.8 FSI / Avant 2.8 FSI quattro (incl. Air Suspention equipped car),,,,,,,,,,,,BDX,,,,2800,,,,8.1,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9,
,VIN №*,,,,2007,4WD,2.8 FSI / Avant 2.8 FSI quattro,,,,,,,,,,,,BDX,,,,2800,,,,8.1,,MJ-210,MJ-112,,,,,MT,,,3.4,,,,,,SP,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,,,,,,,,0.9,
,ABA-4FAUKS,,,,2007,4WD,3.2 FSI / Avant 3.2 FSI quattro (incl. Air Suspention equipped car),,,,,,,,,,,,AUK,,,,3200,,,,8.1,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9,
,"ABA-4FBVJA
VIN №*",,,,2007,4WD,4.2 FSI / Avant 4.2 FSI quattro,,,,,,,,,,,,BVJ,,,,4200,,,,8.8,,MJ-210,MJ-112,,,,,AT,,,9.0,,,,,,MJ-309,MJ-410,,,,SP,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-107,,,,,,,,,,,,,,,1.1,,,,0.5,,,0.9,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
